tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000242516.3	F3	33	0.248189927978181	0.745575675543468	5.91492861699044e-05	0.000171684022113076	0.00600356317006776
Brain_Amygdala	ENSG00000227124.11	ASD	131	5.80786664063256e-05	0.988281365019519	7.05870542495651e-08	0.00119065744689555	0.0104698282801237
Brain_Amygdala	ENSG00000227124.11	ADHD	83	0.000148346024691657	0.991311035304448	9.71243177521603e-08	0.000641126476599048	0.00789939506994366
Brain_Amygdala	ENSG00000179097.7	ASD	41	0.765755948620507	0.231303985901737	0.000342944719599651	0.00010109374036208	0.0024960270177942
Brain_Amygdala	ENSG00000179097.7	ADHD	38	0.776285226147231	0.215979243160566	0.0010708537568858	0.000291561427309092	0.00637311550800827
Brain_Amygdala	ENSG00000163320.12	ASD	63	0.0285819112047362	0.959046065302653	2.48051797764169e-05	0.000820794056109038	0.0115264242567248
Brain_Amygdala	ENSG00000163320.12	ADHD	59	0.0296480253286889	0.961804080125402	1.85506548090861e-05	0.000593861611677862	0.00793548227942211
Brain_Amygdala	ENSG00000163320.12	F3	44	0.0975512396467113	0.896908500852689	3.04247833291295e-05	0.000274497107650159	0.00523533760962065
Brain_Amygdala	ENSG00000179021.10	ASD	264	0.373708797397179	0.614986515182531	0.00125591104893638	0.00205877525767617	0.00799000111367798
Brain_Amygdala	ENSG00000179021.10	ADHD	225	0.402315012636981	0.5462542847591	0.00689381345201498	0.00932505317578733	0.0352118359761174
Brain_Amygdala	ENSG00000179021.10	F3	172	0.525742662455635	0.469185954193842	0.000740338195051987	0.000657022373529484	0.00367402278194158
Brain_Amygdala	ENSG00000178750.3	ASD	67	0.298949314309252	0.693743582915798	0.000248911051046613	0.00057113743292153	0.00648705429098201
Brain_Amygdala	ENSG00000178750.3	ADHD	48	0.374490964361597	0.616774782077515	0.000415716471119208	0.000677030382019071	0.00764150670775028
Brain_Amygdala	ENSG00000178700.9	ASD	108	0.129350473309067	0.859164856715215	0.000162298538180117	0.00106775613126	0.0102546153062774
Brain_Amygdala	ENSG00000178700.9	ADHD	83	0.187841166658288	0.784629242005945	0.00147902324138621	0.00615811903502144	0.0198924490593586
Brain_Amygdala	ENSG00000178700.9	F3	30	0.58828447688141	0.407911727872434	0.000213654066900518	0.000144700572115088	0.00344544060714053
Brain_Amygdala	ENSG00000239445.6	ASD	217	1.18544259519324e-32	0.98564454597731	4.00224581545121e-35	0.00331665650857282	0.0110387975141204
Brain_Amygdala	ENSG00000239445.6	ADHD	182	1.29418480450657e-32	0.968549570230786	3.29907093664663e-35	0.00243996748176146	0.0290104622874493
