pair	exposure	outcome	n_iv	method	beta	se	p	egger_intercept	egger_intercept_p	cochran_Q_p_ivw	presso_global_p	presso_raw_p	presso_outlier_corrected_b	presso_outlier_corrected_p
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	54	Weighted median	-0.115053126346208	0.0530687619339837	0.030158614174143	0.00393543690141335	0.436623836222249	8.28285569200968e-08		0.139367122085984	-0.0686634941900983	0.115627906266072
Gupta_2023_raw__SCZ	Gupta_2023_raw	SCZ	54	Robust adjusted profile score (RAPS)	-0.0666488325354261	0.0516830440047527	0.197200471468348	0.00393543690141335	0.436623836222249	8.28285569200968e-08		0.139367122085984	-0.0686634941900983	0.115627906266072
Gupta_2023_raw__BD	Gupta_2023_raw	BD	53	Inverse variance weighted	0.0275373676148651	0.0361457892794302	0.446154520952823	-0.000140250683852247	0.966757639378678	0.216913546279382	0.0619354838709677	0.461937005741622		
Gupta_2023_raw__BD	Gupta_2023_raw	BD	53	MR Egger	0.0307898755404358	0.0858106710871346	0.721217126043036	-0.000140250683852247	0.966757639378678	0.216913546279382	0.0619354838709677	0.461937005741622		
Gupta_2023_raw__BD	Gupta_2023_raw	BD	53	Weighted median	0.0773295989286796	0.0530938942058878	0.145263076044671	-0.000140250683852247	0.966757639378678	0.216913546279382	0.0619354838709677	0.461937005741622		
Gupta_2023_raw__BD	Gupta_2023_raw	BD	53	Robust adjusted profile score (RAPS)	0.0237944846307932	0.0375528759618252	0.52632482359891	-0.000140250683852247	0.966757639378678	0.216913546279382	0.0619354838709677	0.461937005741622		
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	53	Inverse variance weighted	-0.0121960908011968	0.0181852041432016	0.502437087470705	0.00127536279218155	0.446563673091493	8.63644839634164e-06		0.399667474098373	-0.0252599567954517	0.109008368456584
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	53	MR Egger	-0.0413450017674734	0.0421578335879272	0.331360778923494	0.00127536279218155	0.446563673091493	8.63644839634164e-06		0.399667474098373	-0.0252599567954517	0.109008368456584
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	53	Weighted median	-0.0119089380332429	0.0205929851383947	0.56306111165608	0.00127536279218155	0.446563673091493	8.63644839634164e-06		0.399667474098373	-0.0252599567954517	0.109008368456584
Gupta_2023_raw__MDD	Gupta_2023_raw	MDD	53	Robust adjusted profile score (RAPS)	-0.013018303197767	0.0179683366886305	0.468750518484166	0.00127536279218155	0.446563673091493	8.63644839634164e-06		0.399667474098373	-0.0252599567954517	0.109008368456584
Gupta_2023_raw__ADHD	Gupta_2023_raw	ADHD	47	Inverse variance weighted	-0.102878496888343	0.0526169623168856	0.0505554052236518	-0.00291804329644671	0.57211574498649	0.0224906479631991	0.00727272727272727	0.0462362592110484		
Gupta_2023_raw__ADHD	Gupta_2023_raw	ADHD	47	MR Egger	-0.0372959843457361	0.126845224521461	0.770088872026973	-0.00291804329644671	0.57211574498649	0.0224906479631991	0.00727272727272727	0.0462362592110484		
